# time passed	number of events	interval average	total
3615.0	251.0	33.46666666666667	113228.0
3622.5	253.0	33.733333333333334	113481.0
3630.0	241.0	32.13333333333333	113722.0
3637.5	255.0	34.0	113977.0
3645.0	204.0	27.2	114181.0
3652.5	240.0	32.0	114421.0
3660.0	223.0	29.733333333333334	114644.0
3667.5	229.0	30.533333333333335	114873.0
3675.0	269.0	35.86666666666667	115142.0
3682.5	241.0	32.13333333333333	115383.0
3690.0	216.0	28.8	115599.0
3697.5	217.0	28.933333333333334	115816.0
3705.0	244.0	32.53333333333333	116060.0
3712.5	275.0	36.666666666666664	116335.0
3720.0	241.0	32.13333333333333	116576.0
3727.5	239.0	31.866666666666667	116815.0
3735.0	232.0	30.933333333333334	117047.0
3742.5	246.0	32.8	117293.0
3750.0	243.0	32.4	117536.0
3757.5	257.0	34.266666666666666	117793.0
3765.0	238.0	31.733333333333334	118031.0
3772.5	229.0	30.533333333333335	118260.0
3780.0	211.0	28.133333333333333	118471.0
3787.5	249.0	33.2	118720.0
3795.0	229.0	30.533333333333335	118949.0
3802.5	227.0	30.266666666666666	119176.0
3810.0	229.0	30.533333333333335	119405.0
3817.5	262.0	34.93333333333333	119667.0
3825.0	226.0	30.133333333333333	119893.0
3832.5	249.0	33.2	120142.0
3840.0	247.0	32.93333333333333	120389.0
3847.5	256.0	34.13333333333333	120645.0
3855.0	228.0	30.4	120873.0
3862.5	237.0	31.6	121110.0
3870.0	254.0	33.86666666666667	121364.0
3877.5	231.0	30.8	121595.0
3885.0	234.0	31.2	121829.0
3892.5	232.0	30.933333333333334	122061.0
3900.0	244.0	32.53333333333333	122305.0
3907.5	231.0	30.8	122536.0
3915.0	231.0	30.8	122767.0
3922.5	224.0	29.866666666666667	122991.0
3930.0	272.0	36.266666666666666	123263.0
3937.5	231.0	30.8	123494.0
3945.0	223.0	29.733333333333334	123717.0
3952.5	246.0	32.8	123963.0
3960.0	256.0	34.13333333333333	124219.0
3967.5	229.0	30.533333333333335	124448.0
3975.0	233.0	31.066666666666666	124681.0
3982.5	257.0	34.266666666666666	124938.0
3990.0	268.0	35.733333333333334	125206.0
3997.5	227.0	30.266666666666666	125433.0
4005.0	226.0	30.133333333333333	125659.0
4012.5	250.0	33.333333333333336	125909.0
4020.0	239.0	31.866666666666667	126148.0
4027.5	248.0	33.06666666666667	126396.0
4035.0	248.0	33.06666666666667	126644.0
4042.5	248.0	33.06666666666667	126892.0
4050.0	239.0	31.866666666666667	127131.0
4057.5	226.0	30.133333333333333	127357.0
4065.0	219.0	29.2	127576.0
4072.5	257.0	34.266666666666666	127833.0
4080.0	225.0	30.0	128058.0
4087.5	260.0	34.666666666666664	128318.0
4095.0	239.0	31.866666666666667	128557.0
4102.5	207.0	27.6	128764.0
4110.0	234.0	31.2	128998.0
4117.5	270.0	36.0	129268.0
4125.0	253.0	33.733333333333334	129521.0
4132.5	256.0	34.13333333333333	129777.0
4140.0	226.0	30.133333333333333	130003.0
4147.5	213.0	28.4	130216.0
4155.0	225.0	30.0	130441.0
4162.5	230.0	30.666666666666668	130671.0
4170.0	223.0	29.733333333333334	130894.0
4177.5	259.0	34.53333333333333	131153.0
4185.0	226.0	30.133333333333333	131379.0
4192.5	241.0	32.13333333333333	131620.0
4200.0	228.0	30.4	131848.0
4207.5	241.0	32.13333333333333	132089.0
4215.0	242.0	32.266666666666666	132331.0
4222.5	223.0	29.733333333333334	132554.0
4230.0	214.0	28.533333333333335	132768.0
4237.5	266.0	35.46666666666667	133034.0
4245.0	238.0	31.733333333333334	133272.0
4252.5	242.0	32.266666666666666	133514.0
4260.0	246.0	32.8	133760.0
4267.5	223.0	29.733333333333334	133983.0
4275.0	266.0	35.46666666666667	134249.0
4282.5	225.0	30.0	134474.0
4290.0	265.0	35.333333333333336	134739.0
4297.5	218.0	29.066666666666666	134957.0
4305.0	248.0	33.06666666666667	135205.0
4312.5	240.0	32.0	135445.0
4320.0	240.0	32.0	135685.0
4327.5	216.0	28.8	135901.0
4335.0	228.0	30.4	136129.0
4342.5	209.0	27.866666666666667	136338.0
4350.0	263.0	35.06666666666667	136601.0
4357.5	226.0	30.133333333333333	136827.0
4365.0	247.0	32.93333333333333	137074.0
4372.5	238.0	31.733333333333334	137312.0
4380.0	222.0	29.6	137534.0
4387.5	245.0	32.666666666666664	137779.0
4395.0	231.0	30.8	138010.0
4402.5	228.0	30.4	138238.0
4410.0	227.0	30.266666666666666	138465.0
4417.5	268.0	35.733333333333334	138733.0
4425.0	254.0	33.86666666666667	138987.0
4432.5	250.0	33.333333333333336	139237.0
4440.0	230.0	30.666666666666668	139467.0
4447.5	242.0	32.266666666666666	139709.0
4455.0	233.0	31.066666666666666	139942.0
4462.5	241.0	32.13333333333333	140183.0
4470.0	245.0	32.666666666666664	140428.0
4477.5	258.0	34.4	140686.0
4485.0	237.0	31.6	140923.0
4492.5	213.0	28.4	141136.0
4500.0	224.0	29.866666666666667	141360.0
4507.5	213.0	28.4	141573.0
4515.0	211.0	28.133333333333333	141784.0
4522.5	223.0	29.733333333333334	142007.0
4530.0	233.0	31.066666666666666	142240.0
4537.5	219.0	29.2	142459.0
4545.0	212.0	28.266666666666666	142671.0
4552.5	223.0	29.733333333333334	142894.0
4560.0	241.0	32.13333333333333	143135.0
